EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,17-Jun-87,AD_PRES,95000,,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-89,AD_VP,54450,,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-93,AD_VP,50000,0.01,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,3-Jan-90,IT_PROG,31186.54,0.01,102,60
104,Bruce,Ernst,BERNST,590.423.4568,21-May-91,IT_PROG,20786.59,0.01,103,60
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-97,IT_PROG,16625.4,0.01,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,5-Feb-98,IT_PROG,16625.4,0.01,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,7-Feb-99,IT_PROG,14546.62,0.01,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-94,FI_MGR,31432.17,0.01,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,16-Aug-94,FI_ACCOUNT,23574.43,0.01,108,100
110,John,Chen,JCHEN,515.124.4269,28-Sep-97,FI_ACCOUNT,21484.76,0.01,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-Sep-97,FI_ACCOUNT,20176.75,0.01,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,7-Mar-98,FI_ACCOUNT,20433.27,0.01,108,100
113,Luis,Popp,LPOPP,515.124.4567,7-Dec-99,FI_ACCOUNT,18074.98,0.01,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,7-Dec-94,PU_MAN,28817.36,0.01,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,18-May-95,PU_CLERK,9680,0.01,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-97,PU_CLERK,7601.22,0.01,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,24-Jul-97,PU_CLERK,7332.6,0.01,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,15-Nov-98,PU_CLERK,6807.46,0.01,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-Aug-99,PU_CLERK,6550.94,0.01,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,18-Jul-96,ST_MAN,20959.62,0.01,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,10-Apr-97,ST_MAN,21484.76,0.01,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1-May-95,ST_MAN,20701.89,0.01,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-97,ST_MAN,17023.49,0.01,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-99,ST_MAN,15190.34,0.01,100,50
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-97,ST_CLERK,8384.09,0.01,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-98,ST_CLERK,7076.08,0.01,120,50
127,James,Landry,JLANDRY,650.124.1334,14-Jan-99,ST_CLERK,6294.42,0.01,120,50
128,Steven,Markle,SMARKLE,650.124.1434,8-Mar-00,ST_CLERK,72600,0.01,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,20-Aug-97,ST_CLERK,8640.61,0.01,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-Oct-97,ST_CLERK,7332.6,0.01,121,50
131,James,Marlow,JAMRLOW,650.124.7234,16-Feb-97,ST_CLERK,6550.94,0.01,121,50
132,TJ,Olson,TJOLSON,650.124.8234,10-Apr-99,ST_CLERK,8000,0.01,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,14-Jun-96,ST_CLERK,8640.61,0.01,122,50
134,Michael,Rogers,MROGERS,650.127.1834,26-Aug-98,ST_CLERK,7601.22,0.01,122,50
135,Ki,Gee,KGEE,650.127.1734,12-Dec-99,ST_CLERK,6294.42,0.01,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,6-Feb-00,ST_CLERK,8000,0.01,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-95,ST_CLERK,9434.37,0.01,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-97,ST_CLERK,8384.09,0.01,123,50
139,John,Seo,JSEO,650.121.2019,12-Feb-98,ST_CLERK,7076.08,0.01,123,50
140,Joshua,Patel,JPATEL,650.121.1834,6-Apr-98,ST_CLERK,6550.94,0.01,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,17-Oct-95,ST_CLERK,9165.75,0.01,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,29-Jan-97,ST_CLERK,8127.57,0.01,124,50
143,Randall,Matos,RMATOS,650.121.2874,15-Mar-98,ST_CLERK,6807.46,0.01,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,9-Jul-98,ST_CLERK,6550.94,0.01,124,50
145,John,Russell,JRUSSEL,011.44.1344.429268,1-Oct-96,SA_MAN,48505.27,0.4,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,5-Jan-97,SA_MAN,40671.73,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-Mar-97,SA_MAN,36149.96,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-Oct-99,SA_MAN,33143.11,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-Jan-00,SA_MAN,31628.19,0.2,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30-Jan-97,SA_REP,30125.37,0.3,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,24-Mar-97,SA_REP,28621.34,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,20-Aug-97,SA_REP,27118.52,0.25,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,30-Mar-98,SA_REP,24099.57,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,9-Dec-98,SA_REP,22596.75,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-Nov-99,SA_REP,21093.93,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,30-Jan-96,SA_REP,30125.37,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,4-Mar-96,SA_REP,990000,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,1-Aug-96,SA_REP,27118.52,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,10-Mar-97,SA_REP,24099.57,0.3,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,15-Dec-97,SA_REP,22596.75,0.3,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,3-Nov-98,SA_REP,21093.93,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-Nov-97,SA_REP,31628.19,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,19-Mar-99,SA_REP,28621.34,0.15,147,80
